"Name","mean_mem","median_mem","mode_mem","min_mem","max_mem","percentile_0_mem","percentile_25_mem","percentile_50_mem","percentile_75_mem","percentile_100_mem","mean_cpu","median_cpu","mode_cpu","min_cpu","max_cpu","percentile_0_cpu","percentile_25_cpu","percentile_50_cpu","percentile_75_cpu","percentile_100_cpu"
"ca1.auditor.contaudit.ppgc.inf.ufrgs.br",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0
"ca2.organization.contaudit.ppgc.inf.ufrgs.br",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0
"contaudit-network",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-application-chaincode_1.0-a600ba687f904fa25b330186b001b3c14817d7479439c94047988bb5342c88d7",9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,0.118805970149254,0.1,0.1,0.08,0.29,0.08,0.1,0.1,0.11,0.29
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-artifact-chaincode_1.0-c4699f34cb6837107b495fe1db440d59890a13a55e950c64381413397010f2f9",10.14,10.14,10.14,10.14,10.14,10.14,10.14,10.14,10.14,10.14,0.124179104477612,0.11,0.11,0.08,0.31,0.08,0.1,0.11,0.12,0.31
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-log-chaincode_1.0-2cc0797c17541030882e26ed5dbe0eff943d9176fc09fa894b34065e567eaf63",18.710447761194,18.71,18.71,18.71,18.72,18.71,18.71,18.71,18.71,18.72,0.596318407960199,0.1,0.09,0.08,10.13,0.08,0.09,0.1,0.15,10.13
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26",0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.00318407960199005,0,0,0,0.21,0,0,0,0,0.21
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-wrapper-chaincode_1.0-429db1795ab3c43eee6b5e1ea370bfffccf3ffe4bc19f8a55b1891be7394dbcf",9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,0.120845771144279,0.11,0.11,0.08,0.3,0.08,0.1,0.11,0.12,0.3
"dev-p1.organization.contaudit.ppgc.inf.ufrgs.br-application-chaincode_1.0-a600ba687f904fa25b330186b001b3c14817d7479439c94047988bb5342c88d7",10.31,10.31,10.31,10.31,10.31,10.31,10.31,10.31,10.31,10.31,0.121293532338308,0.11,0.1,0.08,0.33,0.08,0.1,0.11,0.12,0.33
"dev-p1.organization.contaudit.ppgc.inf.ufrgs.br-artifact-chaincode_1.0-c4699f34cb6837107b495fe1db440d59890a13a55e950c64381413397010f2f9",10.41,10.41,10.41,10.41,10.41,10.41,10.41,10.41,10.41,10.41,0.105422885572139,0.09,0.09,0.06,0.28,0.06,0.08,0.09,0.1,0.28
