"Name","mean_mem","median_mem","mode_mem","min_mem","max_mem","percentile_0_mem","percentile_25_mem","percentile_50_mem","percentile_75_mem","percentile_100_mem","mean_cpu","median_cpu","mode_cpu","min_cpu","max_cpu","percentile_0_cpu","percentile_25_cpu","percentile_50_cpu","percentile_75_cpu","percentile_100_cpu"
"ca1.auditor.contaudit.ppgc.inf.ufrgs.br",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0
"ca2.organization.contaudit.ppgc.inf.ufrgs.br",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0
"contaudit-network",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-application-chaincode_1.0-a600ba687f904fa25b330186b001b3c14817d7479439c94047988bb5342c88d7",10.63,10.63,10.63,10.63,10.63,10.63,10.63,10.63,10.63,10.63,0.0847368421052632,0.09,0.09,0.06,0.11,0.06,0.075,0.09,0.09,0.11
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-artifact-chaincode_1.0-c4699f34cb6837107b495fe1db440d59890a13a55e950c64381413397010f2f9",12.08,12.08,12.08,12.08,12.08,12.08,12.08,12.08,12.08,12.08,0.0868421052631579,0.09,0.07,0.07,0.12,0.07,0.07,0.09,0.09,0.12
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-log-chaincode_1.0-2cc0797c17541030882e26ed5dbe0eff943d9176fc09fa894b34065e567eaf63",31.1952631578947,31.19,31.19,31.19,31.21,31.19,31.19,31.19,31.2,31.21,0.159473684210526,0.1,0.09,0.08,0.42,0.08,0.09,0.1,0.2,0.42
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26",0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0,0,0,0,0,0,0,0,0,0
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-wrapper-chaincode_1.0-429db1795ab3c43eee6b5e1ea370bfffccf3ffe4bc19f8a55b1891be7394dbcf",10.38,10.38,10.38,10.38,10.38,10.38,10.38,10.38,10.38,10.38,0.100526315789474,0.09,0.09,0.06,0.19,0.06,0.085,0.09,0.11,0.19
"dev-p1.organization.contaudit.ppgc.inf.ufrgs.br-application-chaincode_1.0-a600ba687f904fa25b330186b001b3c14817d7479439c94047988bb5342c88d7",10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,0.0842105263157895,0.08,0.07,0.07,0.12,0.07,0.07,0.08,0.09,0.12
"dev-p1.organization.contaudit.ppgc.inf.ufrgs.br-artifact-chaincode_1.0-c4699f34cb6837107b495fe1db440d59890a13a55e950c64381413397010f2f9",12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,0.0857894736842105,0.08,0.08,0.07,0.11,0.07,0.08,0.08,0.09,0.11
