"Name","mean_mem","median_mem","mode_mem","min_mem","max_mem","percentile_0_mem","percentile_25_mem","percentile_50_mem","percentile_75_mem","percentile_100_mem","mean_cpu","median_cpu","mode_cpu","min_cpu","max_cpu","percentile_0_cpu","percentile_25_cpu","percentile_50_cpu","percentile_75_cpu","percentile_100_cpu"
"ca1.auditor.contaudit.ppgc.inf.ufrgs.br",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0
"ca2.organization.contaudit.ppgc.inf.ufrgs.br",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0
"contaudit-network",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-application-chaincode_1.0-a600ba687f904fa25b330186b001b3c14817d7479439c94047988bb5342c88d7",10.63,10.63,10.63,10.63,10.63,10.63,10.63,10.63,10.63,10.63,0.0944444444444444,0.08,0.07,0.07,0.19,0.07,0.07,0.08,0.1,0.19
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-artifact-chaincode_1.0-c4699f34cb6837107b495fe1db440d59890a13a55e950c64381413397010f2f9",12.08,12.08,12.08,12.08,12.08,12.08,12.08,12.08,12.08,12.08,0.0844444444444444,0.08,0.08,0.07,0.12,0.07,0.08,0.08,0.09,0.12
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-log-chaincode_1.0-2cc0797c17541030882e26ed5dbe0eff943d9176fc09fa894b34065e567eaf63",31.3044444444444,31.3,31.3,31.3,31.32,31.3,31.3,31.3,31.3,31.32,0.134444444444444,0.08,0.08,0.06,0.34,0.06,0.07,0.08,0.17,0.34
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26",0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.0344444444444444,0,0,0,0.31,0,0,0,0,0.31
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-wrapper-chaincode_1.0-429db1795ab3c43eee6b5e1ea370bfffccf3ffe4bc19f8a55b1891be7394dbcf",10.38,10.38,10.38,10.38,10.38,10.38,10.38,10.38,10.38,10.38,0.0955555555555556,0.08,0.08,0.07,0.18,0.07,0.08,0.08,0.09,0.18
"dev-p1.organization.contaudit.ppgc.inf.ufrgs.br-application-chaincode_1.0-a600ba687f904fa25b330186b001b3c14817d7479439c94047988bb5342c88d7",10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,0.0844444444444444,0.08,0.08,0.07,0.12,0.07,0.08,0.08,0.09,0.12
"dev-p1.organization.contaudit.ppgc.inf.ufrgs.br-artifact-chaincode_1.0-c4699f34cb6837107b495fe1db440d59890a13a55e950c64381413397010f2f9",12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,0.0844444444444444,0.08,0.08,0.07,0.11,0.07,0.08,0.08,0.09,0.11
