"Name","mean_mem","median_mem","mode_mem","min_mem","max_mem","percentile_0_mem","percentile_25_mem","percentile_50_mem","percentile_75_mem","percentile_100_mem","mean_cpu","median_cpu","mode_cpu","min_cpu","max_cpu","percentile_0_cpu","percentile_25_cpu","percentile_50_cpu","percentile_75_cpu","percentile_100_cpu"
"ca1.auditor.contaudit.ppgc.inf.ufrgs.br",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0
"ca2.organization.contaudit.ppgc.inf.ufrgs.br",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0
"contaudit-network",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-application-chaincode_1.0-a600ba687f904fa25b330186b001b3c14817d7479439c94047988bb5342c88d7",10.63,10.63,10.63,10.63,10.63,10.63,10.63,10.63,10.63,10.63,0.0815789473684211,0.08,0.08,0.07,0.11,0.07,0.075,0.08,0.08,0.11
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-artifact-chaincode_1.0-c4699f34cb6837107b495fe1db440d59890a13a55e950c64381413397010f2f9",12.08,12.08,12.08,12.08,12.08,12.08,12.08,12.08,12.08,12.08,0.0857894736842105,0.08,0.08,0.07,0.12,0.07,0.075,0.08,0.09,0.12
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-log-chaincode_1.0-2cc0797c17541030882e26ed5dbe0eff943d9176fc09fa894b34065e567eaf63",31.6752631578947,31.67,31.67,31.67,31.69,31.67,31.67,31.67,31.68,31.69,0.132631578947368,0.08,0.07,0.06,0.35,0.06,0.07,0.08,0.17,0.35
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26",0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.00210526315789474,0,0,0,0.02,0,0,0,0,0.02
"dev-p1.auditor.contaudit.ppgc.inf.ufrgs.br-wrapper-chaincode_1.0-429db1795ab3c43eee6b5e1ea370bfffccf3ffe4bc19f8a55b1891be7394dbcf",10.38,10.38,10.38,10.38,10.38,10.38,10.38,10.38,10.38,10.38,0.0963157894736842,0.09,0.08,0.07,0.16,0.07,0.08,0.09,0.11,0.16
"dev-p1.organization.contaudit.ppgc.inf.ufrgs.br-application-chaincode_1.0-a600ba687f904fa25b330186b001b3c14817d7479439c94047988bb5342c88d7",10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,0.0836842105263158,0.08,0.08,0.07,0.12,0.07,0.075,0.08,0.09,0.12
"dev-p1.organization.contaudit.ppgc.inf.ufrgs.br-artifact-chaincode_1.0-c4699f34cb6837107b495fe1db440d59890a13a55e950c64381413397010f2f9",12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,0.0873684210526316,0.09,0.08,0.07,0.11,0.07,0.08,0.09,0.09,0.11
